symbol,mcap_cr
CCLINTER,47.8
CCME,230.58
CDG,151.49
CDSL,26919.62
CEATLTD,14325.3
CEEJAY,61.57
CEENIK,103.3
CEETAIN,61.68
CEIGALL,5398.55
CEINSYS,1777.44
CELEBRITY,47.32
CELLA,29.82
CELLO,9557.42
CEMAINFRA,11.81
CEMPRO,13160.96
CENLUB,98.53
CENTENKA,979.38
CENTERAC,3.19
CENTEXT,164.77
CENTPROV,42.7
CENTRALBK,31957.56
CENTRUM,1145.26
CENTUM,4160.3
CENTUPLE,37.26
CENTURYPLY,16734.65
CERA,6834.94
CEREBRAINT,54.35
CESC,21847.23
CEWATER,680.81
CFEL,90.26
CFF,1358.05
CFL,30.31
CGCL,17638.36
CGFL,170.28
CGPOWER,118912.96
CGVAK,100.85
CHABRASP,4.41
CHADPAP,8.93
CHALET,17505.56
CHALLANI,31.28
CHAMBLFERT,18038.23
CHANDNIMACH,22.42
CHANDRAP,36.04
CHANDRIMA,201.25
CHARMS,2.74
CHATHA,187.24
CHCL,16.3
CHDCHEM,5.45
CHDDLTD,8.74
CHEMBOND,208.6
CHEMBONDCH,429.83
CHEMCON,633.0
CHEMCRUX,136.53
CHEMFAB,564.56
CHEMIESYNT,15.1
CHEMKART,146.38
CHEMPLASTS,3884.65
CHEMTECH,135.19
CHENFERRO,32.72
CHENNPETRO,14703.45
CHEVIOT,626.47
CHIRAHARIT,48.18
CHLLTD,170.52
CHLOGIST,89.63
CHMBBRW,19.05
CHOICEIN,15539.2
CHOKSI,79.46
CHOKSILA,77.51
CHOLAFIN,136762.06
CHOLAHLDNG,30449.98
CHORDIA,28.86
CHOTHANI,12.47
CHOWGULSTM,76.91
CHROME,18.83
CHRTEDCA,79.08
CHTR,85.96
CIANAGRO,3756.12
CIEINDIA,17170.64
CIFL,1106.36
CIGNITITEC,3636.56
CIL,137.47
CILSEC,19.57
CINDHO,19.14
CINDRELL,4.06
CINELINE,287.49
CINEVISTA,89.5
CIPLA,108564.9
CISTRO,5.44
CITADEL,33.55
CITICHEM,11.76
CITIPOR,12.03
CITURGIA,1655.12
CITYMAN,16.24
CITYONLINE,3.65
CITYSQUARE,154.6
CJGEL,8.62
CKFSL,2.48
CLARA,98.36
CLASELE,0.52
CLCIND,20.24
CLEAN,8280.19
CLEANMAX,12628.25
CLEDUCATE,294.11
CLENON,50.13
CLFL,39.12
CLIOINFO,7.86
CLN,389.25
CLSEL,1320.06
CMBL,121.5
CMICABLES,6.45
CMMHOSP,29.68
CMPDI,15235.39
CMRGREEN,5430.01
CMSINFO,5039.59
CMXLTD,37.91
CNCRD,2566.08
CNINFOTECH,228.8
CNL,983.92
COALINDIA,274226.65
COARO,13.1
COASTCORP,332.62
COCHINM,201.61
COCHINSHIP,39568.6
COCHMAL,24.46
COCKERILL,2861.67
COFFEEDAY,627.09
COFORGE,47791.08
COHANCE,14797.83
COLAB,3402.59
COLINZ,13.14
COLORCHIPS,23.5
COLPAL,56477.58
COMCL,15.25
COMFINCAP,66.23
COMFINTE,216.74
